symbol,market_cap_cr
RELIANCE,1781549.9
HDFCBANK,1225937.1
BHARTIARTL,1154089.4
ICICIBANK,994845.3
SBIN,964784.1
TCS,758314.9
BAJFINANCE,610222.4
LT,578069.6
LICI,535411.0
HINDUNILVR,511506.0
SUNPHARMA,446636.2
ADANIPOWER,441812.4
MARUTI,432397.9
AXISBANK,428398.6
INFY,422262.7
ADANIENT,417125.4
ADANIPORTS,413560.7
KOTAKBANK,407556.4
M&M,382478.8
TITAN,380542.4
ITC,363354.6
NTPC,341807.5
ULTRACEMCO,336971.3
JSWSTEEL,300539.0
BEL,298604.5
HCLTECH,297769.6
ONGC,293309.2
HAL,291853.4
BAJAJFINSV,282440.4
DMART,280413.6
BAJAJ-AUTO,275082.7
NESTLEIND,271853.8
COALINDIA,268479.3
POWERGRID,264602.2
ASIANPAINT,253082.1
ADANIGREEN,251342.6
SHRIRAMFIN,242538.5
TATASTEEL,235219.1
ETERNAL,234444.2
HINDZINC,219230.7
HINDALCO,212881.8
GRASIM,212261.3
INDIGO,211192.3
EICHERMOT,208618.1
IOC,203261.1
WIPRO,183698.2
ADANIENSOL,180913.2
DIVISLAB,177863.9
SBILIFE,174764.5
VAML,172954.1
VBL,171516.2
TRENT,171402.2
TVSMOTOR,170035.9
ICICIAMC,163846.7
PIDILITIND,162416.6
MOTHERSON,159916.7
HYUNDAI,159745.6
TMCV,159083.5
JIOFIN,157815.1
SOLARINDS,157733.2
BSE,157375.0
CUMMINSIND,156618.0
DLF,153964.4
CHOLAFIN,153465.6
TATACAP,153023.8
TORNTPHARM,152970.6
IDEA,152222.0
POWERINDIA,151501.5
CGPOWER,148347.3
ABB,147848.5
BANKBARODA,144539.6
POLYCAB,143877.7
PFC,143026.4
BHEL,139996.4
UNIONBANK,133252.2
BPCL,132407.4
ENRIN,131052.4
TMPV,129847.9
SIEMENS,129378.6
GVT&D,129303.5
TECHM,127531.8
HDFCLIFE,127014.8
BRITANNIA,126094.6
TATAPOWER,124154.9
PNB,124020.4
GROWW,123583.9
APOLLOHOSP,123439.1
MUTHOOTFIN,121392.0
IRFC,119877.4
BOSCHLTD,119754.2
BAJAJHLDNG,118249.4
CANBK,117256.3
CIPLA,116265.1
GMRAIRPORT,114596.6
HDFCAMC,113721.7
GAIL,113689.7
INDIANB,112471.5
DRREDDY,112374.2
TATACONSUM,111978.4
LTM,111528.7
ZYDUSLIFE,109924.9
MAXHEALTH,109285.5
JINDALSTEL,107955.5
LUPIN,107381.1
ABCAPITAL,107153.5
MARICO,107104.9
VEDL,106757.3
LGEINDIA,106601.2
GODREJCP,106028.6
AMBUJACEM,105356.3
JSWENERGY,105032.1
INDUSTOWER,103892.1
INDHOTEL,102771.8
BHARATFORG,102550.0
MANKIND,101679.6
UNITDSPR,100810.5
MAZDOCK,99372.7
HEROMOTOCO,98219.6
LLOYDSME,97056.6
RECLTD,95954.7
OFSS,95387.5
LODHA,94887.0
ASHOKLEY,94639.5
SHREECEM,92962.0
IDBI,92470.7
ICICIGI,90862.5
AUROPHARMA,89448.3
LENSKART,87896.6
HINDPETRO,87027.9
WAAREEENER,86585.9
NYKAA,86201.1
MEESHO,85628.9
SRF,80978.1
NTPCGREEN,80656.8
FEDERALBNK,79769.9
NHPC,79556.7
ATGL,79296.3
LAURUSLABS,78503.7
SUZLON,78348.5
YESBANK,77839.2
AUBANK,77739.5
PERSISTENT,75717.4
DABUR,75135.8
LTF,74839.5
NMDC,74501.9
POLICYBZR,74471.9
HAVELLS,73941.0
BHARTIHEXA,73725.0
DIXON,73144.7
BAJAJHFL,73092.3
NAM-INDIA,72879.7
MCX,72129.3
FORTIS,71985.3
PAYTM,71890.6
INDUSINDBK,71477.6
TORNTPOWER,71236.8
ICICIPRULI,71197.3
SAIL,70338.7
JSWINFRA,68914.6
IDFCFIRSTB,68392.4
MAHABANK,68293.3
PHOENIXLTD,68159.1
BIOCON,67371.5
PRESTIGE,67107.8
IOB,66339.0
COFORGE,66067.2
OIL,66032.1
BANKINDIA,65831.6
UNOMINDA,65658.0
SCHAEFFLER,64881.6
ALKEM,64864.0
APARINDS,64523.8
OBEROIRLTY,63994.0
NAUKRI,63478.3
GICRE,63351.4
BERGEPAINT,62771.8
SWIGGY,62636.5
HDBFS,61469.2
NATIONALUM,61159.8
GLENMARK,60673.2
LINDEINDIA,59878.1
SBICARD,59437.8
TIINDIA,59231.9
COROMANDEL,58899.3
RBLBANK,57861.9
FACT,57524.7
JSL,57190.4
MOTILALOFS,57083.5
TATACOMM,56846.6
GODREJPROP,55729.8
MFSL,55604.0
MRF,55086.1
THERMAX,54578.3
ABBOTINDIA,54504.5
VMM,54503.2
COLPAL,54127.9
RADICO,51262.2
SUNDARMFIN,50968.0
KEI,50295.5
RVNL,50182.3
APLAPOLLO,49975.7
BDL,49889.2
UPL,49787.2
PIRAMALFIN,47924.3
HINDCOPPER,47384.2
PREMIERENE,47169.5
M&MFIN,45861.9
